,lemma,freq,both_cooc,both_pmi,e_cooc,e_pmi,neither_cooc,neither_pmi,redup_cooc,redup_pmi
240,kar2,37,6,2.78103308573,1,-2.52018049738,9,-1.58578025875,21,2.63733254416
13,DU,159,0,,4,-2.62361008704,154,0.407651690851,1,-3.85841446827
297,ra,166,4,0.0304845192921,4,-2.6857665631,105,-0.20704580824,53,1.80734951023
190,gun3,85,10,2.31806110939,2,-2.72011806789,48,-0.370680329976,25,1.68893374065
298,ri,230,3,-0.855003599584,5,-2.83428908781,208,0.308697772637,14,-0.583666641877
264,lu,93,0,,2,-2.84988594286,61,-0.154673368104,30,1.82220027151
346,sug4,47,1,-0.149064901039,1,-2.86531598343,40,0.22108734865,5,0.22180773022
378,tud,297,1,-2.80879517016,6,-2.94008375183,281,0.373855304861,9,-1.58992563235
384,tum2,54,0,,1,-3.06561463392,53,0.42678105784,0,
121,cum2,432,0,,8,-3.06561463392,420,0.413106120943,4,-3.30041901515
96,ca4,60,0,,1,-3.21761772736,56,0.35421243189,3,-0.867459607877
175,gi4,616,13,-0.160822871915,10,-3.25558557756,347,-0.374246582676,246,2.13019645165
394,ugu,72,0,,1,-3.4806521332,71,0.433570223503,0,
306,sa4,75,1,-0.823294739857,1,-3.53954582225,69,0.333453871723,4,-0.774350203486
318,si,191,4,-0.171904877397,2,-3.88815595979,144,0.0462442788472,41,1.23459166359
64,[X],32,0,,0,,32,0.453748105441,0,
129,dadag,67,10,2.66136285507,0,,0,,57,3.22126931072
133,dalla,31,0,,0,,31,0.453748105441,0,
140,di4-di4,34,2,1.31806110939,0,,0,,32,3.36700564576
177,gibil,27,0,,0,,25,0.342716793052,2,-0.300419015154
215,huc,128,0,,0,,126,0.431028028941,2,-2.54553151299
223,i,74,7,2.00342550707,0,,13,-2.05526554205,54,2.99990262354
247,ku10-ku10,27,7,3.45799137053,0,,0,,20,3.02150907973
248,ku7-ku7,34,4,2.31806110939,0,,0,,30,3.27389624137
308,sag2,45,0,,0,,45,0.453748105441,0,
336,su,28,1,0.598169028581,0,,14,-0.546251894559,13,2.34755328309
337,su-ub,29,0,,0,,27,0.350654612477,2,-0.403512508118
349,suh3,31,1,0.451327640252,0,,17,-0.412985363696,13,2.20071189476
376,tu5,42,1,0.0132065278603,0,,29,-0.0805883222105,12,1.64711356495
