,char,freq,both_cooc,both_pmi,e_cooc,e_pmi,neither_cooc,neither_pmi,redup_cooc,redup_pmi
224,dug4,937,3,-2.8814187863,34,-2.09516952816,865,0.338399190306,35,-1.2881537337
190,dal,29,1,0.547542955511,1,-2.16870812688,20,-0.0823047947995,7,1.40384241394
556,dugud,61,0,,2,-2.24146446932,58,0.380991763005,1,-2.47626885055
310,ku,31,2,1.45132764025,1,-2.26492344214,19,-0.252520691503,9,1.67019717807
206,en,1461,9,-1.93729151072,45,-2.33161449823,1256,0.235628391529,151,0.180132763531
98,ca4,67,0,,2,-2.37681632221,62,0.34185522537,3,-1.02665820273
385,mu2,202,10,1.06924056277,6,-2.38397611379,129,-0.193236121888,57,1.62914701842
232,jal2,675,0,,20,-2.38754272881,645,0.388159763813,10,-2.62234711004
182,lu,174,3,-0.452457044489,5,-2.43174253272,126,-0.0119154669081,40,1.33345308605
323,jar,696,5,-1.71549145032,20,-2.43174253272,604,0.249209348917,67,0.0776141816189
200,taka4,71,0,,2,-2.46047425126,66,0.348395105294,3,-1.11031613177
88,gun3,71,0,,2,-2.46047425126,45,-0.204145917734,24,1.88968386823
289,kar2,37,6,2.78103308573,1,-2.52018049738,9,-1.58578025875,21,2.63733254416
381,tud,230,1,-2.43996610031,6,-2.57125468198,214,0.349725040897,9,-1.22109656249
254,jen,311,0,,8,-2.59149790189,302,0.411382074635,1,-4.82630228312
160,gur3,78,0,,2,-2.59612935062,76,0.416273400022,0,
9,tu,82,0,,2,-2.66827913637,76,0.344123614266,4,-0.903083517608
550,gi4,594,11,-0.349363551524,13,-2.82460653441,330,-0.394248801114,240,2.14703996182
277,sug4,46,1,-0.118038005418,1,-2.83428908781,39,0.215588368246,5,0.25283462584
4,gi,47,2,0.850935098961,1,-2.86531598343,36,0.0690842552053,8,0.899879635332
47,za,155,1,-1.87060045464,3,-3.00188903631,132,0.222017819525,19,0.426271595179
229,cum2,431,0,,8,-3.06227119084,419,0.413010480051,4,-3.29707557208
18,ti,129,1,-1.60570330478,2,-3.32195438718,126,0.419800773517,0,
318,ugu,67,0,,1,-3.37681632221,66,0.432053034341,0,
303,sa4,76,1,-0.842403562805,1,-3.5586546452,70,0.335103608942,4,-0.793459026434
567,ac,83,0,,1,-3.6857665631,72,0.248633675536,10,0.40135715055
304,ka,90,0,,1,-3.80258022808,68,0.0493578503613,21,1.35493281346
280,DU,122,0,,1,-4.24146446932,121,0.441874005152,0,
209,ec,491,0,,2,-5.25030634607,450,0.327950082343,39,-0.199708508443
3,gin7,452,0,,0,,407,0.302454127292,45,0.126142620924
19,di4,34,2,1.31806110939,0,,0,,32,3.36700564576
77,ku7,34,4,2.31806110939,0,,0,,30,3.27389624137
99,ku10,27,7,3.45799137053,0,,0,,20,3.02150907973
164,su,65,0,,0,,50,0.0752364821869,15,1.33899126959
166,en3,55,0,,0,,49,0.287098236031,6,0.258071274206
215,er,30,5,2.82056144992,0,,21,-0.0608250673891,4,0.547577891401
257,huc,128,0,,0,,126,0.431028028941,2,-2.54553151299
267,dalla,31,0,,0,,31,0.453748105441,0,
301,dadag,65,10,2.7050842325,0,,0,,55,3.21346038751
338,sag2,43,0,,0,,43,0.453748105441,0,
352,tu5,37,1,0.19607058501,0,,25,-0.111849070414,11,1.70444674002
407,suh3,30,1,0.498633355031,0,,17,-0.365679648918,12,2.13254039212
442,ig,39,1,0.120121731777,0,,35,0.297628903523,3,-0.245971231131
451,dam,114,0,,0,,84,0.0131755140547,30,1.52846906845
502,gibil,26,0,,0,,25,0.397164577074,1,-1.24597123113
565,ec2,55,0,,0,,46,0.195950347973,9,0.843033774928
578,ar,31,0,,0,,29,0.357532790181,2,-0.499727823377
